"task_id","candidate_model_path","model_path","source_id","source_exp_id","method_family","memory_footprint","parameter_count","file_size","cost_proxy","utility_proxy","local_valid","risk","candidate_rank","recommended_action"
"task011","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task011.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task011.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","11","submit_full_source_except_failed_task133"
"task012","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task012.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task012.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","12","submit_full_source_except_failed_task133"
"task013","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task013.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task013.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","13","submit_full_source_except_failed_task133"
"task014","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task014.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task014.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","14","submit_full_source_except_failed_task133"
"task015","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task015.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task015.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","15","submit_full_source_except_failed_task133"
"task016","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task016.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task016.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","16","submit_full_source_except_failed_task133"
"task017","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task017.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task017.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","17","submit_full_source_except_failed_task133"
"task018","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task018.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task018.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","18","submit_full_source_except_failed_task133"
"task019","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task019.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task019.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","19","submit_full_source_except_failed_task133"
"task020","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task020.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task020.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","20","submit_full_source_except_failed_task133"
"task021","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task021.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task021.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","21","submit_full_source_except_failed_task133"
"task022","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task022.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task022.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","22","submit_full_source_except_failed_task133"
"task023","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task023.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task023.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","23","submit_full_source_except_failed_task133"
"task024","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task024.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task024.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","24","submit_full_source_except_failed_task133"
"task025","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task025.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task025.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","25","submit_full_source_except_failed_task133"
"task026","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task026.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task026.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","26","submit_full_source_except_failed_task133"
"task027","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task027.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task027.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","27","submit_full_source_except_failed_task133"
"task028","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task028.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task028.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","28","submit_full_source_except_failed_task133"
"task029","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task029.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task029.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","29","submit_full_source_except_failed_task133"
"task030","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task030.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task030.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","30","submit_full_source_except_failed_task133"
"task031","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task031.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task031.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","31","submit_full_source_except_failed_task133"
"task032","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task032.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task032.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","32","submit_full_source_except_failed_task133"
"task033","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task033.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task033.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","33","submit_full_source_except_failed_task133"
"task034","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task034.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task034.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","34","submit_full_source_except_failed_task133"
"task035","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task035.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task035.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","35","submit_full_source_except_failed_task133"
"task036","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task036.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task036.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","36","submit_full_source_except_failed_task133"
"task037","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task037.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task037.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","37","submit_full_source_except_failed_task133"
"task038","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task038.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task038.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","38","submit_full_source_except_failed_task133"
"task039","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task039.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task039.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","39","submit_full_source_except_failed_task133"
"task040","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task040.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task040.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","40","submit_full_source_except_failed_task133"
"task041","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task041.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task041.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","41","submit_full_source_except_failed_task133"
"task042","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task042.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task042.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","42","submit_full_source_except_failed_task133"
"task043","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task043.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task043.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","43","submit_full_source_except_failed_task133"
"task044","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task044.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task044.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","44","submit_full_source_except_failed_task133"
"task045","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task045.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task045.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","45","submit_full_source_except_failed_task133"
"task046","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task046.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task046.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","46","submit_full_source_except_failed_task133"
"task047","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task047.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task047.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","47","submit_full_source_except_failed_task133"
"task048","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task048.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task048.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","48","submit_full_source_except_failed_task133"
"task049","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task049.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task049.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","49","submit_full_source_except_failed_task133"
"task050","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task050.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task050.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","50","submit_full_source_except_failed_task133"
"task051","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task051.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task051.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","51","submit_full_source_except_failed_task133"
"task052","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task052.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task052.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","52","submit_full_source_except_failed_task133"
"task053","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task053.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task053.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","53","submit_full_source_except_failed_task133"
"task054","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task054.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task054.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","54","submit_full_source_except_failed_task133"
"task055","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task055.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task055.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","55","submit_full_source_except_failed_task133"
"task056","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task056.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task056.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","56","submit_full_source_except_failed_task133"
"task057","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task057.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task057.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","57","submit_full_source_except_failed_task133"
"task058","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task058.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task058.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","58","submit_full_source_except_failed_task133"
"task059","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task059.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task059.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","59","submit_full_source_except_failed_task133"
"task060","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task060.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task060.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","60","submit_full_source_except_failed_task133"
"task061","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task061.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task061.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","61","submit_full_source_except_failed_task133"
"task062","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task062.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task062.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","62","submit_full_source_except_failed_task133"
"task063","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task063.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task063.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","63","submit_full_source_except_failed_task133"
"task064","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task064.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task064.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","64","submit_full_source_except_failed_task133"
"task065","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task065.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task065.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","65","submit_full_source_except_failed_task133"
"task066","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task066.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task066.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","66","submit_full_source_except_failed_task133"
"task067","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task067.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task067.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","67","submit_full_source_except_failed_task133"
"task068","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task068.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task068.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","68","submit_full_source_except_failed_task133"
"task069","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task069.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task069.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","69","submit_full_source_except_failed_task133"
"task070","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task070.onnx","E:\kagglegolf\data\interim\vyanktesh_multi_source_onnx_solver_submission\task070.onnx","SRC_KAGGLE_NOTEBOOK_VYANKTESH_MULTI_SOURCE","GOLF_20260608_047_vyanktesh_multi_source_full","public_full_replace_except_task133","","","","","","true","medium","70","submit_full_source_except_failed_task133"
