exp_id,created_at,base_exp_id,changed_task_count,changed_tasks,rule_names,status,submission_id,public_score,score_delta_vs_parent,outcome,ablation_needed,child_exp_ids,notes
GOLF_20260610_086_simple_exact_batch_084_B1,2026-06-12T20:53:34,GOLF_20260609_078_stack_galaxy021,1,task307,upscale_x2,SubmissionStatus.COMPLETE,53602844,6289.45,-2.990000,negative_batch,true,,negative single-task batch cannot be split further
GOLF_20260610_086_simple_exact_batch_084_B3,2026-06-12T20:53:34,GOLF_20260609_078_stack_galaxy021,3,"task300,task309,task380","color_replacement,largest_color_crop,rotate270",SubmissionStatus.COMPLETE,53602968,6285.10,-7.340000,negative_batch,true,"GOLF_20260610_087_simple_exact_batch_086_A1,GOLF_20260610_088_simple_exact_batch_086_B2",split into GOLF_20260610_087_simple_exact_batch_086_A1 and GOLF_20260610_088_simple_exact_batch_086_B2
GOLF_20260610_086_simple_exact_batch_085_A1,2026-06-12T21:05:04,GOLF_20260609_078_stack_galaxy021,1,task036,largest_object_crop,SubmissionStatus.COMPLETE,53603154,6292.08,-0.360000,negative_batch,true,,negative single-task batch cannot be split further
GOLF_20260610_087_simple_exact_batch_085_B2,2026-06-12T21:05:22,GOLF_20260609_078_stack_galaxy021,2,"task166,task276","color_replacement,fill_bounding_box",SubmissionStatus.COMPLETE,53603287,6287.36,-5.080000,negative_batch,true,"GOLF_20260610_088_simple_exact_batch_087_A1,GOLF_20260610_089_simple_exact_batch_087_B1",split into GOLF_20260610_088_simple_exact_batch_087_A1 and GOLF_20260610_089_simple_exact_batch_087_B1
GOLF_20260610_087_simple_exact_batch_086_A1,2026-06-12T21:05:22,GOLF_20260609_078_stack_galaxy021,1,task300,largest_color_crop,SubmissionStatus.COMPLETE,53603196,6293.07,0.630000,positive_batch,false,,no ablation action
GOLF_20260610_088_simple_exact_batch_086_B2,2026-06-12T21:05:22,GOLF_20260609_078_stack_galaxy021,2,"task309,task380","color_replacement,rotate270",SubmissionStatus.COMPLETE,53603330,6284.47,-7.970000,negative_batch,true,"GOLF_20260610_089_simple_exact_batch_088_A1,GOLF_20260610_090_simple_exact_batch_088_B1",split into GOLF_20260610_089_simple_exact_batch_088_A1 and GOLF_20260610_090_simple_exact_batch_088_B1
GOLF_20260610_088_simple_exact_batch_087_A1,2026-06-12T21:13:01,GOLF_20260609_078_stack_galaxy021,1,task166,fill_bounding_box,SubmissionStatus.COMPLETE,53603510,6293.47,1.030000,positive_batch,false,,no ablation action
GOLF_20260610_089_simple_exact_batch_087_B1,2026-06-12T21:13:01,GOLF_20260609_078_stack_galaxy021,1,task276,color_replacement,SubmissionStatus.COMPLETE,53603541,6286.33,-6.110000,negative_batch,true,,negative single-task batch cannot be split further
GOLF_20260610_089_simple_exact_batch_088_A1,2026-06-12T21:20:28,GOLF_20260609_078_stack_galaxy021,1,task309,color_replacement,SubmissionStatus.COMPLETE,53603697,6286.33,-6.110000,negative_batch,true,,negative single-task batch cannot be split further
GOLF_20260610_090_simple_exact_batch_088_B1,2026-06-12T21:20:28,GOLF_20260609_078_stack_galaxy021,1,task380,rotate270,SubmissionStatus.COMPLETE,53603731,6290.58,-1.860000,negative_batch,true,,negative single-task batch cannot be split further
