exp_id,notebook_path,dataset_path,output_expected,kernel_slug,kernel_status,output_verified,output_sha256,ready_for_submit,notes
GOLF_20260608_027_jsrdcht_memory_task018_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_027_jsrdcht_memory_task018_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_missing_local_fallback,false,,false,submitted_waiting_score
GOLF_20260608_028_jonathan_task025_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_028_jonathan_task025_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_028_jonathan_task025_probe\kaggle_output\submission.zip
GOLF_20260608_029_seddik_surgery_6272,E:\kagglegolf\submissions\candidates\GOLF_20260608_029_seddik_surgery_6272\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_029_seddik_surgery_6272\kaggle_output\submission.zip
GOLF_20260608_030_beicicc_inline_full,E:\kagglegolf\submissions\candidates\GOLF_20260608_030_beicicc_inline_full\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,false,Notebook embeds candidate zip.
GOLF_20260608_031_beicicc_inline_396_mix,E:\kagglegolf\submissions\candidates\GOLF_20260608_031_beicicc_inline_396_mix\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_missing_local_fallback,false,,false,submitted_waiting_score
GOLF_20260608_032_biohack_best_blend_max_full,E:\kagglegolf\submissions\candidates\GOLF_20260608_032_biohack_best_blend_max_full\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_032_biohack_best_blend_max_full\kaggle_output\submission.zip
GOLF_20260608_033_massimiliano_task258_groupconv_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_033_massimiliano_task258_groupconv_probe\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260608_034_rogermt_6273_full_replace,E:\kagglegolf\submissions\candidates\GOLF_20260608_034_rogermt_6273_full_replace\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_034_rogermt_6273_full_replace\kaggle_output\submission.zip
GOLF_20260608_035_rogermt_task255_optimized_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_035_rogermt_task255_optimized_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_035_rogermt_task255_optimized_probe\kaggle_output\submission.zip
GOLF_20260608_036_rogermt_task020_optimized_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_036_rogermt_task020_optimized_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_036_rogermt_task020_optimized_probe\kaggle_output\submission.zip
GOLF_20260608_037_rogermt_task062_optimized_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_037_rogermt_task062_optimized_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_037_rogermt_task062_optimized_probe\kaggle_output\submission.zip
GOLF_20260608_038_rogermt_task243_optimized_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_038_rogermt_task243_optimized_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_038_rogermt_task243_optimized_probe\kaggle_output\submission.zip
GOLF_20260608_039_rogermt_task255_after020_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_039_rogermt_task255_after020_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_039_rogermt_task255_after020_probe\kaggle_output\submission.zip
GOLF_20260608_040_rogermt_task128_after020_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_040_rogermt_task128_after020_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_040_rogermt_task128_after020_probe\kaggle_output\submission.zip
GOLF_20260608_041_rogermt_task153_after020_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_041_rogermt_task153_after020_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_041_rogermt_task153_after020_probe\kaggle_output\submission.zip
GOLF_20260608_042_rogermt_task159_after020_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_042_rogermt_task159_after020_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_042_rogermt_task159_after020_probe\kaggle_output\submission.zip
GOLF_20260608_043_rogermt_task208_after020_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_043_rogermt_task208_after020_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_043_rogermt_task208_after020_probe\kaggle_output\submission.zip
GOLF_20260608_044_rogermt_task092_after020_probe,E:\kagglegolf\submissions\candidates\GOLF_20260608_044_rogermt_task092_after020_probe\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_044_rogermt_task092_after020_probe\kaggle_output\submission.zip
GOLF_20260608_045_rogermt_positive_stack_128_208,E:\kagglegolf\submissions\candidates\GOLF_20260608_045_rogermt_positive_stack_128_208\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_045_rogermt_positive_stack_128_208\kaggle_output\submission.zip
GOLF_20260608_046_rogermt_positive_stack_255_128_208,E:\kagglegolf\submissions\candidates\GOLF_20260608_046_rogermt_positive_stack_255_128_208\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260608_046_rogermt_positive_stack_255_128_208\kaggle_output\submission.zip
GOLF_20260608_047_vyanktesh_multi_source_full,E:\kagglegolf\submissions\candidates\GOLF_20260608_047_vyanktesh_multi_source_full\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,false,Notebook embeds candidate zip.
GOLF_20260608_047b_vyanktesh_except_task133,E:\kagglegolf\submissions\candidates\GOLF_20260608_047b_vyanktesh_except_task133\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_missing_local_fallback,false,,false,submitted_waiting_score
GOLF_20260608_048_afr1ste_6335_full_replace,E:\kagglegolf\submissions\candidates\GOLF_20260608_048_afr1ste_6335_full_replace\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,false,Notebook embeds candidate zip.
GOLF_20260608_048b_afr1ste_6335_structural_pass_mix,E:\kagglegolf\submissions\candidates\GOLF_20260608_048b_afr1ste_6335_structural_pass_mix\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,E:\kagglegolf\submissions\candidates\GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260609_050_arc_dsl_task070_bbox_fill,E:\kagglegolf\submissions\candidates\GOLF_20260609_050_arc_dsl_task070_bbox_fill\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_050_arc_dsl_task070_bbox_fill\kaggle_output\submission.zip
GOLF_20260609_051_arc_dsl_task303_frontier_fill,E:\kagglegolf\submissions\candidates\GOLF_20260609_051_arc_dsl_task303_frontier_fill\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_051_arc_dsl_task303_frontier_fill\kaggle_output\submission.zip
GOLF_20260609_052_arc_dsl_task249_hconcat_self,E:\kagglegolf\submissions\candidates\GOLF_20260609_052_arc_dsl_task249_hconcat_self\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_052_arc_dsl_task249_hconcat_self\kaggle_output\submission.zip
GOLF_20260609_053_arc_dsl_axis_reverse_pair,E:\kagglegolf\submissions\candidates\GOLF_20260609_053_arc_dsl_axis_reverse_pair\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260609_054_arc_dsl_task300_largest_color_crop,E:\kagglegolf\submissions\candidates\GOLF_20260609_054_arc_dsl_task300_largest_color_crop\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,pushed,false,,true,version=unknown
GOLF_20260609_055_arc_dsl_task242_zero_bbox_mirror_crop,E:\kagglegolf\submissions\candidates\GOLF_20260609_055_arc_dsl_task242_zero_bbox_mirror_crop\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_055_arc_dsl_task242_zero_bbox_mirror_crop\kaggle_output\submission.zip
GOLF_20260609_056_arc_dsl_task384_scaled_object_crop,E:\kagglegolf\submissions\candidates\GOLF_20260609_056_arc_dsl_task384_scaled_object_crop\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260609_057_arc_dsl_task310_least_color_crop,E:\kagglegolf\submissions\candidates\GOLF_20260609_057_arc_dsl_task310_least_color_crop\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_057_arc_dsl_task310_least_color_crop\kaggle_output\submission.zip
GOLF_20260609_058_arc_dsl_task097_remove_isolated,E:\kagglegolf\submissions\candidates\GOLF_20260609_058_arc_dsl_task097_remove_isolated\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260609_059_arc_dsl_task278_size_two_outbox,E:\kagglegolf\submissions\candidates\GOLF_20260609_059_arc_dsl_task278_size_two_outbox\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260609_060_arc_dsl_task057_single_object_hconcat,E:\kagglegolf\submissions\candidates\GOLF_20260609_060_arc_dsl_task057_single_object_hconcat\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260609_061_arc_dsl_task325_component_count_diagonal,E:\kagglegolf\submissions\candidates\GOLF_20260609_061_arc_dsl_task325_component_count_diagonal\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_061_arc_dsl_task325_component_count_diagonal\kaggle_output\submission.zip
GOLF_20260609_062_public_single_task_task076_jonathan,E:\kagglegolf\submissions\candidates\GOLF_20260609_062_public_single_task_task076_jonathan\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_062_public_single_task_task076_jonathan\kaggle_output\submission.zip
GOLF_20260609_063_public_single_task_task096_jonathan,E:\kagglegolf\submissions\candidates\GOLF_20260609_063_public_single_task_task096_jonathan\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_063_public_single_task_task096_jonathan\kaggle_output\submission.zip
GOLF_20260609_064_public_single_task_task101_jonathan,E:\kagglegolf\submissions\candidates\GOLF_20260609_064_public_single_task_task101_jonathan\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_064_public_single_task_task101_jonathan\kaggle_output\submission.zip
GOLF_20260609_065_public_single_task_task255_jonathan,E:\kagglegolf\submissions\candidates\GOLF_20260609_065_public_single_task_task255_jonathan\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_065_public_single_task_task255_jonathan\kaggle_output\submission.zip
GOLF_20260609_066_arc_dsl_task223_upscale_s3,E:\kagglegolf\submissions\candidates\GOLF_20260609_066_arc_dsl_task223_upscale_s3\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_066_arc_dsl_task223_upscale_s3\kaggle_output\submission.zip
GOLF_20260609_067_arc_dsl_task307_upscale_s2,E:\kagglegolf\submissions\candidates\GOLF_20260609_067_arc_dsl_task307_upscale_s2\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_067_arc_dsl_task307_upscale_s2\kaggle_output\submission.zip
GOLF_20260609_068_arc_dsl_task087_rot180,E:\kagglegolf\submissions\candidates\GOLF_20260609_068_arc_dsl_task087_rot180\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_068_arc_dsl_task087_rot180\kaggle_output\submission.zip
GOLF_20260609_069_arc_dsl_task140_rot180,E:\kagglegolf\submissions\candidates\GOLF_20260609_069_arc_dsl_task140_rot180\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_069_arc_dsl_task140_rot180\kaggle_output\submission.zip
GOLF_20260609_070_arc_dsl_task380_rot270,E:\kagglegolf\submissions\candidates\GOLF_20260609_070_arc_dsl_task380_rot270\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_070_arc_dsl_task380_rot270\kaggle_output\submission.zip
GOLF_20260609_071_arc_dsl_task067_first_hsplit,E:\kagglegolf\submissions\candidates\GOLF_20260609_071_arc_dsl_task067_first_hsplit\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_071_arc_dsl_task067_first_hsplit\kaggle_output\submission.zip
GOLF_20260609_072_arc_dsl_task129_most_color_canvas,E:\kagglegolf\submissions\candidates\GOLF_20260609_072_arc_dsl_task129_most_color_canvas\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_072_arc_dsl_task129_most_color_canvas\kaggle_output\submission.zip
GOLF_20260609_073_stack_task067_task129,E:\kagglegolf\submissions\candidates\GOLF_20260609_073_stack_task067_task129\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_073_stack_task067_task129\kaggle_output\submission.zip
GOLF_20260609_074_galaxy_task284_surgical,E:\kagglegolf\submissions\candidates\GOLF_20260609_074_galaxy_task284_surgical\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-current,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_074_galaxy_task284_surgical\kaggle_output\submission.zip
GOLF_20260609_075_stack_task067_task129_galaxy284,E:\kagglegolf\submissions\candidates\GOLF_20260609_075_stack_task067_task129_galaxy284\notebook.ipynb,embedded_submission_zip,submission.zip,muelsyse111/neurogolf-submit-current,not_pushed,false,,true,Notebook embeds candidate zip.
GOLF_20260609_076_stack_galaxy313,E:\kagglegolf\submissions\candidates\GOLF_20260609_076_stack_galaxy313\notebook.ipynb,candidate_kaggle_kernel,submission.zip,muelsyse111/neurogolf-submit-golf-20260609-076-stack-galaxy313,output_verified,false,,true,E:\kagglegolf\submissions\candidates\GOLF_20260609_076_stack_galaxy313\kaggle_output\submission.zip
